Start,Gls,Sh,SoT,Home_1_Away_0,xG,SCA,GCA,Elo_Diff
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,155
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,100
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,88
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,102
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-74
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,110
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,64
0,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,-225
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,65
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,223
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,98
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,158
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-47
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,82
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,197
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,227
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,187
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,174
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,32
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-3
0,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,54
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,86
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,108
0,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-95
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,-319
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,114
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,220
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,145
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,94
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,141
1,0,2.032258064516129,0.8064516129032258,1.0,0.0,0.0,0.0,-135
1,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,99
1,0,1.0,0.0,0.0,0.0,0.0,0.0,-124
1,0,0.0,0.0,1.0,0.0,0.0,0.0,161
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,133
0,0,2.032258064516129,0.8064516129032258,0.0,0.0,0.0,0.0,45
1,0,3.0,1.0,0.0,0.0,0.0,0.0,134
1,0,2.0,0.0,1.0,0.0,0.0,0.0,209
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-2
1,0,3.0,0.0,1.0,0.0,0.0,0.0,-2
1,0,2.0,0.0,0.0,0.0,0.0,0.0,211
1,0,2.0,0.0,1.0,0.0,0.0,0.0,100
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,115
1,0,4.0,1.0,1.0,0.0,0.0,0.0,160
1,0,0.0,0.0,0.0,0.0,0.0,0.0,-249
0,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-34
1,0,1.0,0.0,1.0,0.0,0.0,0.0,30
1,0,4.0,2.0,0.0,0.0,0.0,0.0,92
1,0,1.0,0.0,1.0,0.0,0.0,0.0,126
0,0,0.0,0.0,0.0,0.0,0.0,0.0,151
1,0,3.0,1.0,0.0,0.0,0.0,0.0,58
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-189
1,0,3.0,2.0,1.0,0.0,0.0,0.0,136
1,0,1.0,1.0,1.0,0.0,0.0,0.0,192
1,0,2.032258064516129,0.8064516129032258,0.5238095238095238,0.0,0.0,0.0,-141
1,0,0.0,0.0,0.0,0.0,0.0,0.0,40
0,0,0.0,0.0,1.0,0.0,0.0,0.0,211
1,0,1.0,1.0,1.0,0.0,0.0,0.0,187
1,0,0.0,0.0,0.0,0.0,0.0,0.0,184
1,0,4.0,1.0,1.0,0.0,0.0,0.0,-216
1,0,3.0,1.0,0.0,0.0,0.0,0.0,23
1,0,1.0,1.0,1.0,0.0,0.0,0.0,154
1,0,2.0,1.0,0.0,0.0,0.0,0.0,173
