Season,Age,Squad,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Carries,TotDist,PrgDist,Targ,Rec,Rec%
2010-2011,18,Hamburger SV,8.0,,,,,,,,,,,,,,,,,
2011-2012,19,Hamburger SV,13.6,,,,,,,,,,,,,,,,,
2012-2013,20,Hamburger SV,29.9,,,,,,,,,,,,,,,,,
2013-2014,21,Leverkusen,32.0,,,,,,,,,,,,,,,,,
2014-2015,22,Leverkusen,33.2,,,,,,,,,,,,,,,,,
2015-2016,23,Leverkusen,0.7,,,,,,,,,,,,,,,,,
2015-2016,23,Tottenham,21.1,,,,,,,,,,,,,,,,,
2016-2017,24,Tottenham,33.0,,,,,,,,,,,,,,,,,
2017-2018,25,Tottenham,37.6,1304,12,83,407,921,172,1286,52,88,59.1,58,1078,7916,4511,1452,1069,73.6
2018-2019,26,Tottenham,36.7,1534,16,134,609,914,204,1503,76,134,56.7,85,1322,9473,5597,1723,1196,69.4
2019-2020,27,Tottenham,35.5,1432,27,169,570,807,180,1348,85,145,58.6,94,1090,8066,4913,1481,1017,68.7
2020-2021,28,Tottenham,6.9,323,1,25,134,185,41,293,10,14,71.4,11,206,1426,884,364,236,64.8
