Season,Age,Squad,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG
2010-2011,18,Hamburger SV,8.0,3,,5,,,0.62,,0.60,,
2011-2012,19,Hamburger SV,13.6,5,,11,,,0.81,,0.45,,
2012-2013,20,Hamburger SV,29.9,12,,38,,,1.27,,0.32,,
2013-2014,21,Leverkusen,32.0,10,,50,,,1.56,,0.20,,
2014-2015,22,Leverkusen,33.2,15,,35,,,1.09,,0.40,,
2015-2016,23,Tottenham,21.1,8,,19,,,1.06,,0.37,,
2016-2017,24,Tottenham,33.0,21,95,36,37.9,3.36,1.28,0.16,0.42,,
2017-2018,25,Tottenham,37.6,18,127,52,40.9,3.38,1.38,0.14,0.35,15.9,10.1
2018-2019,26,Tottenham,36.7,20,117,53,45.3,3.19,1.44,0.17,0.38,18.4,11.3
2019-2020,27,Tottenham,35.5,18,107,51,47.7,3.01,1.44,0.16,0.33,15.9,12.3
2020-2021,28,Tottenham,6.9,9,19,12,63.2,2.74,1.73,0.47,0.75,13.4,3.9
